awardid,code,text
1606422,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1631282,7237,"
7237
NANO NON-SOLIC SCI & ENG AWD
"
1601875,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1604148,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1600521,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1628726,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1629955,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1632191,1640,"
1640
INFORMATION TECHNOLOGY RESEARC
"
1632191,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1603681,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1623035,9251,"
9251
RES EXPER FOR UNDERGRAD-SUPPLT
"
1606350,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1610109,8614,"
8614
Nanomaterials
"
1628831,7918,"
7918
CYBER-PHYSICAL SYSTEMS (CPS)
"
1620932,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
1612944,1579,"
1579
HYDROLOGIC SCIENCES
"
1612944,7458,"
7458
GEOMORPHOLOGY & LAND USE DYNAM
"
1620669,9150,"
9150
EXP PROG TO STIM COMP RES
"
1637973,7350,"
7350
NAT ECOLOGICAL OBSERVATORY NET
"
1619878,7364,"
7364
INFO INTEGRATION & INFORMATICS
"
1625950,1391,"
1391
ARCHAEOLOGY
"
1619785,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1631903,7465,"
7465
NANOSCALE BIO CORE
"
1608035,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1625220,7943,"
7943
PROGRAMMING LANGUAGES
"
1600705,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1631602,9150,"
9150
EXP PROG TO STIM COMP RES
"
1600724,9179,"
9179
GRADUATE INVOLVEMENT
"
1604232,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1602558,1267,"
1267
TOPOLOGY
"
1602558,1264,"
1264
ALGEBRA,NUMBER THEORY,AND COM
"
1602558,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1608269,7690,"
7690
ADVANCE - IT-START
"
1630195,7916,"
7916
EAGER
"
1608088,8011,"
8011
Systems and Synthetic Biology
"
1608088,9183,"
9183
GENERAL FOUNDATIONS OF BIOTECHNOLOGY
"
1602670,8070,"
8070
P2C2 Proposals
"
1624273,8023,"
8023
I-Corps
"
1609842,8084,"
8084
CDS&E
"
1609842,8084,"
8084
CDS&E
"
1600220,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601356,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1602500,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601210,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1632797,094E,"
094E
Optoelectronic devices
"
1600956,1585,"
1585
STUDIES OF THE EARTHS DEEP INT
"
1623007,1266,"
1266
APPLIED MATHEMATICS
"
1623007,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1624225,1997,"
1997
NSF Research Traineeship (NRT)
"
1601603,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1630471,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1603351,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1613330,1594,"
1594
HIST BLACK COLLEGES AND UNIV
"
1602832,0694,"
0694

"
1602832,7572,"
7572

"
1602832,9199,"
9199
UNDISTRIBUTED PANEL/IPA FUNDS
"
1602832,0300,"
0300

"
1602832,5974,"
5974
CHILE
"
1624895,1670,"
1670
CHEMICAL OCEANOGRAPHY
"
1624330,8023,"
8023
I-Corps
"
1606264,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1606407,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1619666,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1623429,7916,"
7916
EAGER
"
1606260,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1632611,9178,"
9178
UNDERGRADUATE EDUCATION
"
1601273,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1619857,1311,"
1311
LINGUISTICS
"
1619651,8399,"
8399
Energy Storage or Transmission
"
1632164,8023,"
8023
I-Corps
"
1603247,1264,"
1264
ALGEBRA,NUMBER THEORY,AND COM
"
1603247,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1617255,1650,"
1650
BIOLOGICAL OCEANOGRAPHY
"
1617255,8556,"
8556
Coral Reefs
"
1601814,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1601078,9179,"
9179
GRADUATE INVOLVEMENT
"
1606371,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1624296,7914,"
7914
RAPID
"
1600902,7916,"
7916
EAGER
"
1636471,8023,"
8023
I-Corps
"
1622893,9178,"
9178
UNDERGRADUATE EDUCATION
"
1623051,8400,"
8400
DMREF
"
1621145,7237,"
7237
NANO NON-SOLIC SCI & ENG AWD
"
1601562,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1627442,1165,"
1165
ADVANCES IN BIO INFORMATICS
"
1601315,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1629819,1525,"
1525
PHYSICAL & DYNAMIC METEOROLOGY
"
1629819,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601504,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1602787,7974,"
7974
GRAD RESEARCH SUPPLEMENT
"
1601538,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1600746,9150,"
9150
EXP PROG TO STIM COMP RES
"
1604092,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1624207,EGCH,"
EGCH
ENVIRONMENT AND GLOBAL CHANGE
"
1632004,8023,"
8023
I-Corps
"
1619653,7354,"
7354
COMPUTER SYSTEMS
"
1619653,1045,"
1045
CAREER: FACULTY EARLY CAR DEV
"
1619670,9150,"
9150
EXP PROG TO STIM COMP RES
"
1607673,7483,"
7483
PHYSICS OF THE UNIVERSE
"
1624149,1714,"
1714
SPECIAL PROJECTS - CISE
"
1624149,7916,"
7916
EAGER
"
1601260,9179,"
9179
GRADUATE INVOLVEMENT
"
1601533,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1619955,7916,"
7916
EAGER
"
1606364,9150,"
9150
EXP PROG TO STIM COMP RES
"
1601827,9179,"
9179
GRADUATE INVOLVEMENT
"
1600775,9179,"
9179
GRADUATE INVOLVEMENT
"
1606402,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1628237,7916,"
7916
EAGER
"
1622789,1320,"
1320
ECONOMICS
"
1620062,8023,"
8023
I-Corps
"
1631953,8026,"
8026
Sustainable Energy Pathways
"
1631953,1714,"
1714
SPECIAL PROJECTS - CISE
"
1600837,8990,"
8990
Optics and Photonics
"
1628916,7916,"
7916
EAGER
"
1634613,8023,"
8023
I-Corps
"
1606794,1443,"
1443
FLUID DYNAMICS
"
1606794,5345,"
5345
BIOMEDICAL ENGINEERING
"
1606794,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1612983,7458,"
7458
GEOMORPHOLOGY & LAND USE DYNAM
"
1631964,8020,"
8020
Green Engineering
"
1623372,8023,"
8023
I-Corps
"
1630812,1281,"
1281
ANALYSIS PROGRAM
"
1630812,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1624722,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1612071,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601329,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1634201,1521,"
1521
AERONOMY
"
1634201,9150,"
9150
EXP PROG TO STIM COMP RES
"
1601003,9179,"
9179
GRADUATE INVOLVEMENT
"
1622801,8023,"
8023
I-Corps
"
1601787,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1623552,8206,"
8206
Formal Methods and Verification
"
1611341,8990,"
8990
Optics and Photonics
"
1606277,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1601370,9179,"
9179
GRADUATE INVOLVEMENT
"
1628754,1182,"
1182
POP & COMMUNITY ECOL PROG
"
1628754,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1623976,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1623553,CVIS,"
CVIS
CIVIL INFRASTRUCTURE
"
1601355,9179,"
9179
GRADUATE INVOLVEMENT
"
1608709,9117,"
9117
MARINE BIOTECHNOLOGY
"
1621027,9179,"
9179
GRADUATE INVOLVEMENT
"
1622425,EGCH,"
EGCH
ENVIRONMENT AND GLOBAL CHANGE
"
1620866,8023,"
8023
I-Corps
"
1639769,043E,"
043E
EARTHQUAKE ENGINEERING
"
1633013,7914,"
7914
RAPID
"
1603674,1575,"
1575
EDUCATION AND HUMAN RESOURCES
"
1603674,7295,"
7295
GEOBIOLOGY & LOW TEMP GEOCHEM
"
1612162,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1608295,9150,"
9150
EXP PROG TO STIM COMP RES
"
1636424,1144,"
1144
Molecular Biophysics
"
1636424,6881,"
6881
Theory, Models, Comput. Method
"
1636424,7246,"
7246
PHYSICS OF LIVING SYSTEMS
"
1636424,9263,"
9263
COMPUTATIONAL SCIENCE & ENGING
"
1600728,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1623514,7914,"
7914
RAPID
"
1612242,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1623691,7243,"
7243
Accelerator Science
"
1601743,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1623025,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1604796,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1617290,105E,"
105E
RF/Microwave & mm-wave tech
"
1600767,9150,"
9150
EXP PROG TO STIM COMP RES
"
1633020,1650,"
1650
BIOLOGICAL OCEANOGRAPHY
"
1610725,8990,"
8990
Optics and Photonics
"
1637654,7914,"
7914
RAPID
"
1625073,9179,"
9179
GRADUATE INVOLVEMENT
"
1614319,0723,"
0723
SHARED SERVICES
"
1623505,OTHR,"
OTHR
OTHER RESEARCH OR EDUCATION
"
1640399,1998,"
1998
IUSE
"
1640399,9178,"
9178
UNDERGRADUATE EDUCATION
"
1628620,8251,"
8251
GENERAL TRUST FUND
"
1600980,EGCH,"
EGCH
ENVIRONMENT AND GLOBAL CHANGE
"
1639066,7914,"
7914
RAPID
"
1623417,7752,"
7752
CDI NON SOLICITED RESEARCH
"
1632753,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1606310,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1602799,1114,"
1114
Cellular Dynamics and Function
"
1602799,9150,"
9150
EXP PROG TO STIM COMP RES
"
1601396,9179,"
9179
GRADUATE INVOLVEMENT
"
1637682,8023,"
8023
I-Corps
"
1624112,8023,"
8023
I-Corps
"
1604503,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1611969,7797,"
7797
COMM & INFORMATION FOUNDATIONS
"
1611969,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1609125,8399,"
8399
Energy Storage or Transmission
"
1600236,8023,"
8023
I-Corps
"
1636452,7231,"
7231
CYBERINFRASTRUCTURE
"
1636452,9150,"
9150
EXP PROG TO STIM COMP RES
"
1613211,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1603416,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1632090,7914,"
7914
RAPID
"
1619641,8060,"
8060
Secure &Trustworthy Cyberspace
"
1619641,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
1623905,9150,"
9150
EXP PROG TO STIM COMP RES
"
1631968,7914,"
7914
RAPID
"
1634753,8023,"
8023
I-Corps
"
1610495,7237,"
7237
NANO NON-SOLIC SCI & ENG AWD
"
1630404,7916,"
7916
EAGER
"
1602041,9150,"
9150
EXP PROG TO STIM COMP RES
"
1623809,7626,"
7626
SCIENCE OF SCIENCE POLICY
"
1631717,1517,"
1517
ELECT, PHOTONICS, & MAG DEVICE
"
1631717,9251,"
9251
RES EXPER FOR UNDERGRAD-SUPPLT
"
1602834,0200,"
0200

"
1602834,0300,"
0300

"
1602834,0694,"
0694

"
1602834,7572,"
7572

"
1602834,5978,"
5978
EAST ASIA AND PACIFIC PROGRAM
"
1619712,1080,"
1080
EVOLUTION OF DEVELOP MECHANISM
"
1619712,9179,"
9179
GRADUATE INVOLVEMENT
"
1600954,9150,"
9150
EXP PROG TO STIM COMP RES
"
1622670,1401,"
1401
CATALYSIS AND BIOCATALYSIS
"
1622670,6884,"
6884
Chemical Catalysis
"
1622670,7298,"
7298
COLLABORATIVE RESEARCH
"
1622670,8607,"
8607
Solar Energy Capture&Conver
"
1603855,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1627705,8023,"
8023
I-Corps
"
1620096,8023,"
8023
I-Corps
"
1621324,8004,"
8004
Software Institutes
"
1621324,8004,"
8004
Software Institutes
"
1632599,7936,"
7936
SIGNAL PROCESSING
"
1608624,9150,"
9150
EXP PROG TO STIM COMP RES
"
1600168,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1600635,1268,"
1268
FOUNDATIONS
"
1613904,1579,"
1579
HYDROLOGIC SCIENCES
"
1613904,7458,"
7458
GEOMORPHOLOGY & LAND USE DYNAM
"
1606911,8037,"
8037
Advanced Manufacturing
"
1623802,9150,"
9150
EXP PROG TO STIM COMP RES
"
1634258,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601087,8092,"
8092
Materials Eng. & Processing
"
1601087,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
1606532,9229,"
9229
RES IN UNDERGRAD INST-RESEARCH
"
1623784,0601,"
0601

"
1624047,8023,"
8023
I-Corps
"
1607692,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1608210,8023,"
8023
I-Corps
"
1617287,1139,"
1139
RSCH EXPER FOR UNDERGRAD SITES
"
1617287,1219,"
1219
SPECIAL PROGRAMS IN ASTRONOMY
"
1617287,1360,"
1360
HUMAN RESOURCES DEVELOPMENT
"
1617287,1680,"
1680
OCEAN TECH & INTERDISC COORDIN
"
1617287,1986,"
1986
UNDERGRADUATE PROGRAMS IN CHEM
"
1617287,1998,"
1998
IUSE
"
1617287,7222,"
7222
OFFICE OF SPECIAL PROGRAMS-DMR
"
1617287,7275,"
7275
CROSS-EF ACTIVITIES
"
1617287,7335,"
7335
WORKFORCE IN THE MATHEMAT SCI
"
1617287,7700,"
7700
EDUCATIONAL LINKAGES
"
1617287,9178,"
9178
UNDERGRADUATE EDUCATION
"
1600961,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1607076,9150,"
9150
EXP PROG TO STIM COMP RES
"
1609817,1771,"
1771
METAL & METALLIC NANOSTRUCTURE
"
1630474,7914,"
7914
RAPID
"
1623775,7914,"
7914
RAPID
"
1600669,7923,"
7923
SMALL PROJECT
"
1608043,9178,"
9178
UNDERGRADUATE EDUCATION
"
1600233,8209,"
8209
Improv Undergrad STEM Ed(IUSE)
"
1624515,1468,"
1468
Manufacturing Machines & Equip
"
1624515,9150,"
9150
EXP PROG TO STIM COMP RES
"
1601473,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1611136,9150,"
9150
EXP PROG TO STIM COMP RES
"
1624673,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1624332,8021,"
8021
Materials Engineering
"
1602900,9179,"
9179
GRADUATE INVOLVEMENT
"
1623669,8023,"
8023
I-Corps
"
1619958,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1619757,8023,"
8023
I-Corps
"
1601699,9179,"
9179
GRADUATE INVOLVEMENT
"
1636479,8023,"
8023
I-Corps
"
1606994,8004,"
8004
Software Institutes
"
1601806,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1601140,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1602991,1260,"
1260
INFRASTRUCTURE PROGRAM
"
1602991,1264,"
1264
ALGEBRA,NUMBER THEORY,AND COM
"
1602991,7561,"
7561
CANADA
"
1606498,1391,"
1391
ARCHAEOLOGY
"
1628011,7643,"
7643
ENVIRONMENTAL SUSTAINABILITY
"
1628011,7393,"
7393
SENEGAL
"
1623523,8023,"
8023
I-Corps
"
1623948,8020,"
8020
Green Engineering
"
1625595,8251,"
8251
GENERAL TRUST FUND
"
1601502,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1623946,1773,"
1773
POLYMERS
"
1623946,6885,"
6885
Macromolec/Supramolec/Nano
"
1623946,1253,"
1253
OFFICE OF MULTIDISCIPLINARY AC
"
1623946,1765,"
1765
CONDENSED MATTER & MAT THEORY
"
1623946,1415,"
1415
PARTICULATE &MULTIPHASE PROCES
"
1623946,8092,"
8092
Materials Eng. & Processing
"
1623946,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1636557,6881,"
6881
Theory, Models, Comput. Method
"
1636557,9263,"
9263
COMPUTATIONAL SCIENCE & ENGING
"
1632812,7252,"
7252
Perception, Action and Cognition
"
1628832,8023,"
8023
I-Corps
"
1623837,EGCH,"
EGCH
ENVIRONMENT AND GLOBAL CHANGE
"
1613217,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1611699,8023,"
8023
I-Corps
"
1606492,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1623926,1647,"
1647
ANTARCTIC INSTRUM & SUPPORT
"
1623926,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1600311,8023,"
8023
I-Corps
"
1634738,9150,"
9150
EXP PROG TO STIM COMP RES
"
1632756,6883,"
6883
Chemistry of Life Processes
"
1632756,8078,"
8078
INSPIRE
"
1632756,1144,"
1144
Molecular Biophysics
"
1632756,7275,"
7275
CROSS-EF ACTIVITIES
"
1632756,7246,"
7246
PHYSICS OF LIVING SYSTEMS
"
1632756,7237,"
7237
NANO NON-SOLIC SCI & ENG AWD
"
1612567,8023,"
8023
I-Corps
"
1604063,1579,"
1579
HYDROLOGIC SCIENCES
"
1604063,9150,"
9150
EXP PROG TO STIM COMP RES
"
1636501,9150,"
9150
EXP PROG TO STIM COMP RES
"
1629367,7916,"
7916
EAGER
"
1613191,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1636752,6883,"
6883
Chemistry of Life Processes
"
1636752,BIOT,"
BIOT
BIOTECHNOLOGY
"
1623097,7298,"
7298
COLLABORATIVE RESEARCH
"
1623097,7298,"
7298
COLLABORATIVE RESEARCH
"
1600140,7354,"
7354
COMPUTER SYSTEMS
"
1623286,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1631979,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1611798,9178,"
9178
UNDERGRADUATE EDUCATION
"
1613241,7252,"
7252
PERCEPTION, ACTION & COGNITION
"
1613241,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1608614,7237,"
7237
NANO NON-SOLIC SCI & ENG AWD
"
1620998,8023,"
8023
I-Corps
"
1600665,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601576,9179,"
9179
GRADUATE INVOLVEMENT
"
1600382,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1604376,1773,"
1773
POLYMERS
"
1604376,9177,"
9177
ELEMENTARY/SECONDARY EDUCATION
"
1600473,9150,"
9150
EXP PROG TO STIM COMP RES
"
1620282,8024,"
8024
Complex Systems
"
1629645,7243,"
7243
Accelerator Science
"
1629645,8084,"
8084
CDS&E
"
1619738,8023,"
8023
I-Corps
"
1624368,8023,"
8023
I-Corps
"
1601359,9150,"
9150
EXP PROG TO STIM COMP RES
"
1638466,OTHR,"
OTHR
OTHER RESEARCH OR EDUCATION
"
1619795,5292,"
5292
ANTARCTIC INTEGRATED SYS SCI
"
1619795,8013,"
8013
High Risk/Reward Innovative Research
"
1623778,BIOT,"
BIOT
BIOTECHNOLOGY
"
1606553,8990,"
8990
Optics and Photonics
"
1623542,CVIS,"
CVIS
CIVIL INFRASTRUCTURE
"
1620902,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
1623820,1320,"
1320
ECONOMICS
"
1632865,8084,"
8084
CDS&E
"
1623781,9150,"
9150
EXP PROG TO STIM COMP RES
"
1620010,1572,"
1572
TECTONICS
"
1620010,1574,"
1574
GEOPHYSICS
"
1620010,1620,"
1620
MARINE GEOLOGY AND GEOPHYSICS
"
1620010,7458,"
7458
GEOMORPHOLOGY & LAND USE DYNAM
"
1601168,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1630367,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1608336,9150,"
9150
EXP PROG TO STIM COMP RES
"
1614036,5205,"
5205
ARCTIC RESRCH SUPPRT & LOGISTI
"
1614036,1079,"
1079
ARCTIC RESEARCH
"
1622402,1045,"
1045
CAREER: FACULTY EARLY CAR DEV
"
1623058,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1606254,9219,"
9219
POSTDOCTORAL FELLOWSHIPS IN MATH SCIENCE
"
1636761,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1624676,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601148,9179,"
9179
GRADUATE INVOLVEMENT
"
1620752,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601425,9179,"
9179
GRADUATE INVOLVEMENT
"
1623898,7659,"
7659
ANIMAL BEHAVIOR
"
1609972,8037,"
8037
Advanced Manufacturing
"
1602025,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601935,8019,"
8019
Accelerating Innovation Rsrch
"
1628291,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1600592,7970,"
7970
Combinatorics
"
1601442,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1627615,1112,"
1112
Genetic Mechanisms
"
1627615,9179,"
9179
GRADUATE INVOLVEMENT
"
1608297,7237,"
7237
NANO NON-SOLIC SCI & ENG AWD
"
1634214,7465,"
7465
NANOSCALE BIO CORE
"
1604014,8019,"
8019
Accelerating Innovation Rsrch
"
1600486,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1619967,7916,"
7916
EAGER
"
1601281,9179,"
9179
GRADUATE INVOLVEMENT
"
1632492,8023,"
8023
I-Corps
"
1638235,9150,"
9150
EXP PROG TO STIM COMP RES
"
1616393,1267,"
1267
TOPOLOGY
"
1616393,1268,"
1268
FOUNDATIONS
"
1616393,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1634760,1524,"
1524
ATMOSPHERIC CHEMISTRY
"
1615556,5111,"
5111
ANTARCTIC ORGANISMS & ECOSYST
"
1615556,5205,"
5205
ARCTIC RESRCH SUPPRT & LOGISTI
"
1615556,1530,"
1530
PALEOCLIMATE PROGRAM
"
1615556,5116,"
5116
ANTARCTIC GLACIOLOGY
"
1615556,5292,"
5292
ANTARCTIC INTEGRATED SYS SCI
"
1615556,OTHR,"
OTHR
OTHER RESEARCH OR EDUCATION
"
1600043,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601586,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1601588,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1608112,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1623931,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
1606543,1640,"
1640
INFORMATION TECHNOLOGY RESEARC
"
1606543,9102,"
9102
WOMEN, MINORITY, DISABLED, NEC
"
1601455,9179,"
9179
GRADUATE INVOLVEMENT
"
1606315,9150,"
9150
EXP PROG TO STIM COMP RES
"
1624329,EGCH,"
EGCH
ENVIRONMENT AND GLOBAL CHANGE
"
1601867,8019,"
8019
Accelerating Innovation Rsrch
"
1637094,9179,"
9179
GRADUATE INVOLVEMENT
"
1625127,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1601377,9179,"
9179
GRADUATE INVOLVEMENT
"
1624041,5221,"
5221
ARCTIC SOCIAL SCIENCES
"
1624041,9150,"
9150
EXP PROG TO STIM COMP RES
"
1640430,1680,"
1680
OCEAN TECH & INTERDISC COORDIN
"
1616746,8023,"
8023
I-Corps
"
1619754,7556,"
7556
CONFERENCE AND WORKSHOPS
"
1608521,1045,"
1045
CAREER: FACULTY EARLY CAR DEV
"
1620868,1998,"
1998
IUSE
"
1620868,SMET,"
SMET
SCIENCE, MATH, ENG & TECH EDUCATION
"
1622849,9150,"
9150
EXP PROG TO STIM COMP RES
"
